Species,Family,Sitename,Continent,Site_No,Cont_No,Species_No,Vcmax,Jmax,Pmass,NPratio,Plim_status,PPbin
Alphitonia petriei,Rhamnaceae,Koombooloomba,Australia,41,20,71,72,138.8,0.87,23.5,Low P,med1
Beilschmiedia bancroftii,Lauraceae,Koombooloomba,Australia,41,49,44,43.3,123.3,1.12,23.6,Mod. P,med2
Beilschmiedia collina,Lauraceae,Koombooloomba,Australia,41,50,44,62,166.5,1.34,18.9,Mod. P,high
Beilschmiedia recurva,Lauraceae,Koombooloomba,Australia,41,51,44,42.6,55.8,0.97,20.9,Mod. P,med2
Castanospora alphandi,Sapindaceae,Koombooloomba,Australia,41,82,76,39.2,104,1.3,14.7,Mod. P,high
Corymbia intermedia,Myrtaceae,Koombooloomba,Australia,41,121,59,112.3,153.2,0.56,31,Low P,low
Cryptocarya oblata,Lauraceae,Koombooloomba,Australia,41,129,44,43.8,116.7,0.7,28.6,Low P,med1
Elaeocarpus largiflorens,Elaeocarpaceae,Koombooloomba,Australia,41,147,33,47.8,101.7,0.49,27.2,Low P,low
Endiandra sankeyana,Lauraceae,Koombooloomba,Australia,41,150,44,43.9,103.2,1.01,17.4,Mod. P,med2
Eucalyptus intermedia,Myrtaceae,Koombooloomba,Australia,41,165,59,70.8,141.8,0.59,22.6,Low P,low
Eucalyptus tereticornis,Myrtaceae,Koombooloomba,Australia,41,171,59,84.1,131.7,0.81,19.4,Low P,med1
Euroschinus falcata,Anacardiaceae,Koombooloomba,Australia,41,175,2,51.3,96.4,1.02,20.7,Mod. P,med2
Flindersia bourjotiana,Rutaceae,Koombooloomba,Australia,41,188,74,48.7,81.2,0.64,20.1,Low P,med1
Glochidion hylandii,Euphorbiaceae,Koombooloomba,Australia,41,196,35,45.5,89.3,0.9,21.1,Low P,med1
Litsea leefeana,Lauraceae,Koombooloomba,Australia,41,255,44,48.7,111.8,0.94,19.1,Mod. P,med2
Lophostemon suaveolens,Myrtaceae,Koombooloomba,Australia,41,256,59,61.5,135.9,0.64,23,Low P,med1
Polyscias elegans,Araliaceae,Koombooloomba,Australia,41,331,7,46.7,103.4,0.88,22.9,Low P,med1
Siphonodon membranaceus,Celastraceae,Koombooloomba,Australia,41,398,21,37.5,99.9,1.47,18.4,Mod. P,high
Sloanea australis,Elaeocarpaceae,Koombooloomba,Australia,41,399,33,30.2,72.6,0.45,31.9,Low P,low
Synima macrophylla,Sapindaceae,Koombooloomba,Australia,41,420,76,23.7,59,1.04,20.3,Mod. P,med2
Clethra cuneata,Clethraceae,Kosnipata,S_Amer,42,102,24,67.7,169,1.08,12.2,Mod. P,med2
Clusia cretosa,Clusiaceae,Kosnipata,S_Amer,42,106,25,89.8,182.8,1.78,11.1,Mod. P,high
Schefflera allocotantha,Araliaceae,Kosnipata,S_Amer,42,387,7,64.2,148.9,0.83,12.3,Low P,med1
Weinmannia bangii,Cunoniaceae,Kosnipata,S_Amer,42,469,28,74.1,243.4,1.35,10.8,Mod. P,high
Dipterocarpus tuberculatus,Dipterocarpaceae,Kratie,Asia,43,139,31,48.5,95.9,1.23,14.4,Mod. P,med2
Shorea obtusa,Dipterocarpaceae,Kratie,Asia,43,395,31,44.7,79.2,1.07,16,Mod. P,med2
Terminalia alata,Combretaceae,Kratie,Asia,43,434,26,50.3,99.1,1.04,14.6,Mod. P,med2
"Terminalia tomentosa """"grande""""",Combretaceae,Kratie,Asia,43,441,26,48.2,95.2,0.84,15.8,Low P,med1
Xylia xylocarpa,Leguminosae,Kratie,Asia,43,472,46,40.6,88.1,0.89,25,Low P,med1
Banksia_mariana,Proteaceae,Kuringgai-Chase_NP,Australia,44,47,70,98.9,189.2,0.36,33.1,Low P,low
Hakea_dactyloides,Proteaceae,Kuringgai-Chase_NP,Australia,44,208,70,62.4,105.4,0.16,43.7,Low P,low
Shorea acuta,Dipterocarpaceae,Lambir_HillsNP,Asia,45,393,31,46.4,83.9,0.41,32.2,Low P,low
Shorea beccariana,Dipterocarpaceae,Lambir_HillsNP,Asia,45,394,31,53.5,94.4,0.44,35.4,Low P,low
Duguetia stelechantha,Annonaceae,Manaus,S_Amer,46,143,3,33.1,51,0.5,47.1,Low P,low
Mabea speciosa,Euphorbiaceae,Manaus,S_Amer,46,262,35,36,66.5,1.12,20.4,Mod. P,med2
Micropholis cylindrocarpa,Sapotaceae,Manaus,S_Amer,46,278,77,38.8,66,0.37,71.4,Low P,low
Pourouma villosa,Urticaceae,Manaus,S_Amer,46,341,84,43,63.8,0.47,42.8,Low P,low
Pouteria caimito,Sapotaceae,Manaus,S_Amer,46,344,77,30.2,56.2,0.44,45,Low P,low
Pterandra arborea,Malpighiaceae,Manaus,S_Amer,46,367,50,62.8,95.6,0.4,42.8,Low P,low
Amphimas pterocarpoides,Fabaceae,Mban-Djeren_CAM,Africa,47,28,36,41.4,94.9,1.2,30.9,Mod. P,med2
ANI2 2,NA,Mban-Djeren_CAM,Africa,47,29,NA,23.7,48.3,0.94,31.4,Mod. P,med1
Annona senegalensis,Annonaceae,Mban-Djeren_CAM,Africa,47,32,3,67.5,114.7,0.92,17.2,Mod. P,med1
Antidesma laciniatum,Phyllanthaceae,Mban-Djeren_CAM,Africa,47,36,67,53.1,93.6,0.97,24.3,Mod. P,med2
Berlinia grandiflora,Fabaceae,Mban-Djeren_CAM,Africa,47,52,36,53.8,99.8,1.58,15.2,Mod. P,high
Celtis adolfi-friderici,Cannabaceae,Mban-Djeren_CAM,Africa,47,88,17,41.4,92.4,1.14,15.1,Mod. P,med2
Cola lateritia,Malvaceae,Mban-Djeren_CAM,Africa,47,110,51,16.1,33.7,1.12,14.6,Mod. P,med2
Combretum sp.,Combretaceae,Mban-Djeren_CAM,Africa,47,116,26,38.3,75.4,1,16.1,Mod. P,med2
Crossopteryx febrifuga,Rubiaceae,Mban-Djeren_CAM,Africa,47,128,73,30.6,66.8,1.34,7.9,Mod. P,high
Daniellia oliveri,Fabaceae,Mban-Djeren_CAM,Africa,47,132,36,13.7,47.3,0.58,16,Low P,low
Ficus exasperata,Moraceae,Mban-Djeren_CAM,Africa,47,179,56,57,105.5,1.22,18.3,Mod. P,med2
Ficus variifolia,Moraceae,Mban-Djeren_CAM,Africa,47,185,56,28.9,63.8,1.51,16.5,Mod. P,high
Funtumia elastica,Apocynaceae,Mban-Djeren_CAM,Africa,47,190,5,44.1,95.5,1.12,22.6,Mod. P,med2
Gymnosporia senegalensis,Celastraceae,Mban-Djeren_CAM,Africa,47,206,21,22.9,75.1,2.09,2.6,Mod. P,high
Homalium sp.,Salicaceae,Mban-Djeren_CAM,Africa,47,217,75,49.7,83.5,0.51,34.2,Low P,low
Hymenocardia acida,Phyllanthaceae,Mban-Djeren_CAM,Africa,47,220,67,54.1,110.4,1.41,10.3,Mod. P,high
Ind.plot7,NA,Mban-Djeren_CAM,Africa,47,225,NA,50.7,113.6,1.11,28.2,Mod. P,med2
Irvingia gabonensis,Irvingiaceae,Mban-Djeren_CAM,Africa,47,230,41,25.5,66.7,0.69,28.5,Low P,med1
Leg2,Fabaceae,Mban-Djeren_CAM,Africa,47,244,36,51.7,110.1,1.67,19.4,Mod. P,high
Maprounea membranacea,Euphorbiaceae,Mban-Djeren_CAM,Africa,47,268,35,31,76.6,0.77,20.9,Low P,med1
Maranthes chrysophylla,Chrysobalanaceae,Mban-Djeren_CAM,Africa,47,269,23,37.4,99.2,0.68,24,Low P,med1
Markhamia lutea,Bignoniaceae,Mban-Djeren_CAM,Africa,47,271,10,56.4,115,2.4,14.3,Mod. P,high
Milicia excelsa,Moraceae,Mban-Djeren_CAM,Africa,47,285,56,63,105,1.12,19.4,Mod. P,med2
Ochna 1,Ochnaceae,Mban-Djeren_CAM,Africa,47,303,61,48.6,95.2,0.8,28.3,Low P,med1
Oncoba glauca,Salicaceae,Mban-Djeren_CAM,Africa,47,309,75,41.9,81.7,0.9,21.2,Low P,med1
Oncoba sp.,Salicaceae,Mban-Djeren_CAM,Africa,47,310,75,34.4,85.8,0.88,18.2,Low P,med1
Parkia biglobosa,Fabaceae,Mban-Djeren_CAM,Africa,47,318,36,52.4,107.9,1.39,20.7,Mod. P,high
Piliostigma thonningii,Fabaceae,Mban-Djeren_CAM,Africa,47,324,36,50.8,85.6,1.98,5.7,Mod. P,high
Pouteria alnifolia,Sapotaceae,Mban-Djeren_CAM,Africa,47,342,77,43.5,95.2,1.38,21.3,Mod. P,high
Quassia sp.,Simaroubaceae,Mban-Djeren_CAM,Africa,47,373,78,52.1,112.4,1.28,22,Mod. P,high
Sapium sp.,Euphorbiaceae,Mban-Djeren_CAM,Africa,47,385,35,43.4,98.8,1.15,18.7,Mod. P,med2
Spondias mombin,Anacardiaceae,Mban-Djeren_CAM,Africa,47,407,2,30.9,63.2,1.06,17.3,Mod. P,med2
Spondias sp.,Anacardiaceae,Mban-Djeren_CAM,Africa,47,408,2,39.9,93.4,1.44,16.2,Mod. P,high
Syzygium guineense,Myrtaceae,Mban-Djeren_CAM,Africa,47,422,59,45.4,91.4,0.8,13.6,Low P,med1
Tabernaemontana crassa,Apocynaceae,Mban-Djeren_CAM,Africa,47,426,5,33.2,79.6,4.4,6.9,Mod. P,high
Trichilia rubescens,Meliaceae,Mban-Djeren_CAM,Africa,47,447,53,33.9,77.9,1.27,20.6,Mod. P,med2
Trilepisium madagascariense,Moraceae,Mban-Djeren_CAM,Africa,47,449,56,52,86.5,1.33,17.5,Mod. P,high
Uapaca guineensis,Phyllanthaceae,Mban-Djeren_CAM,Africa,47,453,67,49.2,111.6,0.76,24.1,Low P,med1
Vitex doniana,Lamiaceae,Mban-Djeren_CAM,Africa,47,465,42,56.3,116.9,0.88,14.9,Low P,med1
Ximenia americana,Ximeniaceae,Mban-Djeren_CAM,Africa,47,471,87,55.3,118.5,1.79,16.6,Mod. P,high
Xylopia aethiopica,Annonaceae,Mban-Djeren_CAM,Africa,47,473,3,56.7,124.2,0.7,30.2,Low P,med1
Combretum ghasalense,Combretaceae,Mole,Africa,49,112,26,48.3,116.1,0.89,15.8,Low P,med1
Lannea acida,Anacardiaceae,Mole,Africa,49,238,2,41.9,112.4,1.23,11.2,Mod. P,med2
Maytenus senegalensis,Celastraceae,Mole,Africa,49,273,21,35.9,103.9,0.98,11.8,Mod. P,med2
Terminalia avicennioides,Combretaceae,Mole,Africa,49,435,26,67.8,150.5,0.93,16.1,Mod. P,med1
Vitellaria paradoxa,Sapotaceae,Mole,Africa,49,464,77,42.6,98.2,0.8,16.5,Low P,med1
Agonandra_silvatica,Opiliaceae,Nouragues,S_Amer,51,12,64,28.9,60.5,0.54,34.8,Low P,low
Aniba _rosaeodora,Lauraceae,Nouragues,S_Amer,51,30,44,16.2,33.5,0.42,32.5,Low P,low
Brosimum_guianense,Moraceae,Nouragues,S_Amer,51,62,56,20.5,39,0.83,19.7,Low P,med1
Capirona_decorticans,Rubiaceae,Nouragues,S_Amer,51,71,73,12.3,31.5,0.59,36.9,Low P,low
Caryocar_glabrum,Caryocaraceae,Nouragues,S_Amer,51,77,19,20.4,56.6,0.5,26.1,Low P,low
Chimarrhis_turbinata,Rubiaceae,Nouragues,S_Amer,51,93,73,31.9,74.3,0.56,31.9,Low P,low
Chrysophyllum_argenteum,Sapotaceae,Nouragues,S_Amer,51,97,77,21.6,51.5,0.35,42,Low P,low
Couepia_caryophylloides,Chrysobalanaceae,Nouragues,S_Amer,51,126,23,33.8,83.3,0.55,33.5,Low P,low
Dicorynia_guianensis,Fabaceae,Nouragues,S_Amer,51,136,36,26.7,66.3,0.52,38.3,Low P,low
Eschweilera_coriacea,Lecythidaceae,Nouragues,S_Amer,51,159,45,23.9,50.5,0.78,26.2,Low P,med1
Eschweilera_decolorans,Lecythidaceae,Nouragues,S_Amer,51,160,45,19,41.6,0.43,40.1,Low P,low
Lecythis_idatimon,Lecythidaceae,Nouragues,S_Amer,51,242,45,16.1,29.3,0.44,31,Low P,low
Lecythis_zabucajo,Lecythidaceae,Nouragues,S_Amer,51,243,45,23.2,75.9,0.7,37,Low P,med1
Licania_alba,Chrysobalanaceae,Nouragues,S_Amer,51,250,23,27.5,63.3,0.31,41.5,Low P,low
Micropholis_venulosa,Sapotaceae,Nouragues,S_Amer,51,282,77,28,57.3,0.43,46.7,Low P,low
Paloue_guianensis,Fabaceae,Nouragues,S_Amer,51,313,36,34.3,66.2,0.64,44.7,Low P,med1
Pouteria_eugeniifolia,Sapotaceae,Nouragues,S_Amer,51,352,77,27.1,48.8,0.4,30.5,Low P,low
Pouteria_retinervis,Sapotaceae,Nouragues,S_Amer,51,353,77,42.9,86,0.86,25.4,Low P,med1
Pradosia_ptychandra,Sapotaceae,Nouragues,S_Amer,51,354,77,23.9,43,0.47,35.6,Low P,low
Protium_opacum,Burseraceae,Nouragues,S_Amer,51,362,15,10.5,33.9,0.47,27.9,Low P,low
Sextonia_rubra,Lauraceae,Nouragues,S_Amer,51,392,44,26.7,55.5,0.53,24.8,Low P,low
Sterculia_speciosa,Malvaceae,Nouragues,S_Amer,51,411,51,25,52.5,0.55,27.6,Low P,low
Vouacapoua_americana,Fabaceae,Nouragues,S_Amer,51,468,36,23.2,42.6,0.97,22.7,Mod. P,med2
Carapa grandiflora,Meliaceae,Nyungwe,Africa,52,73,53,50.5,101,1.14,18.2,Mod. P,med2
Entandrophragma excelsum,Meliaceae,Nyungwe,Africa,52,153,53,43.2,81.8,1.73,13.3,Mod. P,high
Hagenia abyssinica,Rosaceae,Nyungwe,Africa,52,207,72,74.6,167.4,2.85,12.4,Mod. P,high
Macaranga kilimandscharica,Euphorbiaceae,Nyungwe,Africa,52,264,35,67.5,146.5,1.23,16.9,Mod. P,med2
Polyscias fulva,Araliaceae,Nyungwe,Africa,52,332,7,76.9,173.4,1.41,14.5,Mod. P,high
Syzygium guineense,Myrtaceae,Nyungwe,Africa,52,422,59,40.4,80.4,1.18,21.3,Mod. P,med2
Amphilophium paniculatum ,Bignoniaceae,Panama_Parque_Metropol,S_Amer,53,27,10,35.9,56.3,1.41,16.3,Mod. P,high
Annona spraguei,Annonaceae,Panama_Parque_Metropol,S_Amer,53,33,3,44.2,73,1.31,20.1,Mod. P,high
Bonamia tricantha,Convolvulaceae,Panama_Parque_Metropol,S_Amer,53,56,27,66,143.2,1.45,16.5,Mod. P,high
Castilla elastica,Moraceae,Panama_Parque_Metropol,S_Amer,53,83,56,58.7,81.1,1.53,17.1,Mod. P,high
Cecropia obtusifolia,Urticaceae,Panama_Parque_Metropol,S_Amer,53,87,84,72,134.4,1.78,19.9,Mod. P,high
Chrysophyllum cainito,Sapotaceae,Panama_Parque_Metropol,S_Amer,53,94,77,49.1,84.7,1.02,18.4,Mod. P,med2
Cinnamomum triplinerve,Lauraceae,Panama_Parque_Metropol,S_Amer,53,99,44,65.6,112.1,1,20.4,Mod. P,med2
Cordia alliodora,Boraginaceae,Panama_Parque_Metropol,S_Amer,53,118,13,68.4,136.6,1.51,24.3,Mod. P,high
Ficus insipida,Moraceae,Panama_Parque_Metropol,S_Amer,53,180,56,67.1,119.3,1.68,16.5,Mod. P,high
Gouania lupuloides,Rhamnaceae,Panama_Parque_Metropol,S_Amer,53,199,71,54.8,96,1.6,17.9,Mod. P,high
Ipomoea sp.,Convolvulaceae,Panama_Parque_Metropol,S_Amer,53,229,27,45.6,69.7,1.92,20.1,Mod. P,high
Luehea seemanii,Malvaceae,Panama_Parque_Metropol,S_Amer,53,257,51,48.9,86.6,1.04,18.7,Mod. P,med2
Luehea seemannii,Malvaceae,Panama_Parque_Metropol,S_Amer,53,258,51,48.6,79.1,1.16,14.5,Mod. P,med2
Mikania leiostachya,Asteraceae,Panama_Parque_Metropol,S_Amer,53,283,9,83.2,107.1,2.37,13.1,Mod. P,high
Mikania micrantha,Asteraceae,Panama_Parque_Metropol,S_Amer,53,284,9,43.7,95.7,1.93,14.3,Mod. P,high
Peritassa pruinosa,Celastraceae,Panama_Parque_Metropol,S_Amer,53,320,21,33.1,65.3,2.4,9.5,Mod. P,high
Pittoniotis trichantha,Rubiaceae,Panama_Parque_Metropol,S_Amer,53,328,73,56.2,113.2,1.24,19.4,Mod. P,med2
Schefflera morototoni,Araliaceae,Panama_Parque_Metropol,S_Amer,53,388,7,71.4,152.5,1.15,21.4,Mod. P,med2
Stigmaphyllon hypargineum,Malpighiaceae,Panama_Parque_Metropol,S_Amer,53,412,50,41.6,68.1,1.54,14.9,Mod. P,high
unknown,unknown,Panama_Parque_Metropol,S_Amer,53,457,83,42.8,89.6,1.78,16.3,Mod. P,high
Chaetocarpus schomburgkianus,Euphorbiaceae,Paracou,S_Amer,54,91,35,25,74.1,0.4,21.2,Low P,low
Licania_alba,Chrysobalanaceae,Paracou,S_Amer,54,250,23,23.2,40.4,0.34,34.2,Low P,low
Lueheopsis_rugosa,Malvaceae,Paracou,S_Amer,54,260,51,17.1,32.7,0.42,29.3,Low P,low
Sterculia_NA,Malvaceae,Paracou,S_Amer,54,409,51,24.4,35.6,0.47,32.2,Low P,low
Sterculia_pruriens,Malvaceae,Paracou,S_Amer,54,410,51,35.6,61.6,0.62,22.6,Low P,med1
Symphonia_globulifera,Clusiaceae,Paracou,S_Amer,54,418,25,20.3,50.9,0.49,28.3,Low P,low
Tovomita_NA,Clusiaceae,Paracou,S_Amer,54,445,25,21.2,43.7,0.5,28.7,Low P,low
Vouacapoua_americana,Fabaceae,Paracou,S_Amer,54,468,36,21.7,44.3,0.76,29.8,Low P,med1
Geijera salicifolia,Rutaceae,Rishton Scrub,Australia,55,194,74,52,127.4,1.61,15.8,Mod. P,high
Lysiphyllum hookeri,Fabaceae,Rishton Scrub,Australia,55,261,36,30.3,68.5,1.4,15.2,Mod. P,high
Planchonella cotinifolia,Sapotaceae,Rishton Scrub,Australia,55,329,77,30.9,72.9,1.34,17.5,Mod. P,high
Terminalia oblongata subsp. oblongata,Combretaceae,Rishton Scrub,Australia,55,439,26,61.2,139.9,2.36,10.6,Mod. P,high
Wrightia versicolor,Apocynaceae,Rishton Scrub,Australia,55,470,5,43.4,99.3,2.7,12.6,Mod. P,high
Brunellia stenoptera,Brunelliaceae,SanPedro_01,S_Amer,57,64,14,71.1,125.4,1.38,13.9,Mod. P,high
Cabralea canjerana,Meliaceae,SanPedro_01,S_Amer,57,67,53,43.9,109.5,2.35,9.7,Mod. P,high
Cecropia angustifolia,Moraceae,SanPedro_01,S_Amer,57,86,56,57,92.4,1.53,15.5,Mod. P,high
Chrysophyllum sp.,Sapotaceae,SanPedro_01,S_Amer,57,96,77,49.3,122.5,1.34,11.9,Mod. P,high
Dendropanax cuneatus,Araliaceae,SanPedro_01,S_Amer,57,134,7,31,56.9,1.38,14.6,Mod. P,high
Endlicheria chalisea,Lauraceae,SanPedro_01,S_Amer,57,151,44,63,96.6,0.97,19.2,Mod. P,med2
Ficus americana subsp. guianensis,Moraceae,SanPedro_01,S_Amer,57,177,56,88,98.5,1.27,11.9,Mod. P,med2
Hieronyma macrocarpa,Phyllanthaceae,SanPedro_01,S_Amer,57,214,67,41.7,90.8,1.43,13.5,Mod. P,high
Ilex sp.,Aquifoliaceae,SanPedro_01,S_Amer,57,223,6,47.9,98,0.48,24.4,Low P,low
Licania sp.,Chrysobalanaceae,SanPedro_01,S_Amer,57,248,23,58.1,130.5,1.08,16.1,Mod. P,med2
Miconia coelestis,Melastomataceae,SanPedro_01,S_Amer,57,275,52,81.9,175.5,1.2,18.8,Mod. P,med2
Pourouma bicolor subsp. scobina,Urticaceae,SanPedro_01,S_Amer,57,338,84,59.2,107.6,2.25,9.4,Mod. P,high
Pouteria sagotiana,Sapotaceae,SanPedro_01,S_Amer,57,347,77,35.5,69.7,1.28,13.6,Mod. P,high
Pouteria torta,Sapotaceae,SanPedro_01,S_Amer,57,349,77,34.8,71.1,0.9,21.9,Low P,med1
Protium sagotianum,Burseraceae,SanPedro_01,S_Amer,57,359,15,44.5,109.7,1.11,14.4,Mod. P,med2
Protium spruceanum cf,Burseraceae,SanPedro_01,S_Amer,57,360,15,48.8,99.3,1.1,15.8,Mod. P,med2
sp1(1046WFR) sp.,NA,SanPedro_01,S_Amer,57,405,NA,39.7,91.2,1.17,13.4,Mod. P,med2
sp5(1101KGC) sp.,NA,SanPedro_01,S_Amer,57,406,NA,18.3,47.6,1.03,18.9,Mod. P,med2
Tapirira obtusa,Anacardiaceae,SanPedro_01,S_Amer,57,431,2,35.4,80.5,1.11,12.4,Mod. P,med2
Eucalyptus coolibah,Myrtaceae,Sturt Plains,Australia,58,162,59,28.7,71.1,0.58,18.3,Low P,low
Eucalyptus pruinosa,Myrtaceae,Sturt Plains,Australia,58,168,59,62.7,109.4,0.51,20.1,Low P,low
Buchenavia tomentosa,Combretaceae,Sucusari_01,S_Amer,59,65,26,24.9,67.7,0.87,19.6,Low P,med1
Couepia bracteosa,Chrysobalanaceae,Sucusari_01,S_Amer,59,125,23,47.4,110.1,0.34,32.1,Low P,low
Eschweilera itayensis,Lecythidaceae,Sucusari_01,S_Amer,59,156,45,34.5,59.5,0.58,17.9,Low P,low
Gustavia hexapetala,Lecythidaceae,Sucusari_01,S_Amer,59,205,45,43.7,72.8,1.38,21.7,Mod. P,high
Helicostylis scabra,Moraceae,Sucusari_01,S_Amer,59,212,56,31.9,68.1,1,17.5,Mod. P,med2
Inga capitata,Fabaceae,Sucusari_01,S_Amer,59,227,36,39.1,89.5,0.91,33.9,Low P,med1
Minquartia guianensis,Olacaceae,Sucusari_01,S_Amer,59,286,62,25.3,72,0.85,18.3,Low P,med1
Nealchornea yapurensis,Euphorbiaceae,Sucusari_01,S_Amer,59,295,35,40.4,104.9,0.78,17.9,Low P,med1
Ruptiliocarpon caracolito,Lepidobotryaceae,Sucusari_01,S_Amer,59,382,47,21.4,57.9,0.56,21,Low P,low
Talisia sylvatica,Sapindaceae,Sucusari_01,S_Amer,59,429,76,28.6,75.5,0.71,17.8,Low P,med1
Vismia amazonica,Clusiaceae,Sucusari_01,S_Amer,59,461,25,68.7,156.2,0.61,19.9,Low P,med1
Bixa arborea,Bixaceae,Tambopata_06,S_Amer,60,53,11,53,90.6,0.93,23.8,Mod. P,med1
Cabralea canjerana,Meliaceae,Tambopata_06,S_Amer,60,67,53,45.3,98.2,3.05,12.9,Mod. P,high
Clarisia racemosa,Fabaceae,Tambopata_06,S_Amer,60,101,36,35.6,76.2,1.86,13.1,Mod. P,high
Cordia sp.,Boraginaceae,Tambopata_06,S_Amer,60,119,13,66.2,103.7,1.08,23.2,Mod. P,med2
Dipteryx alata,Fabaceae,Tambopata_06,S_Amer,60,140,36,57.2,80.2,1.27,16.5,Mod. P,med2
Ficus schultesii,NA,Tambopata_06,S_Amer,60,183,NA,45.6,83.3,1.01,15.1,Mod. P,med2
Hymenaea courbaril var. longifolia,Fabaceae,Tambopata_06,S_Amer,60,219,36,61.6,107.8,0.99,17.6,Mod. P,med2
Ocotea bofo,Lauraceae,Tambopata_06,S_Amer,60,305,44,41,78.9,0.51,35.1,Low P,low
Ocotea sp.,Lauraceae,Tambopata_06,S_Amer,60,307,44,47.6,91.4,0.99,18.9,Mod. P,med2
Pourouma minor,Urticaceae,Tambopata_06,S_Amer,60,340,84,48.8,78.4,1.31,16.1,Mod. P,high
Pouteria torta subsp. tuberculata,Sapotaceae,Tambopata_06,S_Amer,60,351,77,47.7,108.8,0.89,19.7,Low P,med1
Sloanea brevipes,Elaeocarpaceae,Tambopata_06,S_Amer,60,400,33,70.7,87.1,0.64,25.7,Low P,med1
Sorocea trophoides,Moraceae,Tambopata_06,S_Amer,60,404,56,36.5,75.1,1.58,16.7,Mod. P,high
Thyrsodium sp.,Anacardiaceae,Tambopata_06,S_Amer,60,443,2,66.5,109.2,1.03,13.6,Mod. P,med2
Trattinnickia glaziovii,Burseraceae,Tambopata_06,S_Amer,60,446,15,48.8,90.9,1.8,9.2,Mod. P,high
unidentified,NA,Tambopata_06,S_Amer,60,456,NA,39.5,72.1,0.27,67.4,Low P,low
Eucalyptus delegatensis,Myrtaceae,Tumbarumba,Australia,61,163,59,94.7,184.3,1.45,9.3,Mod. P,high
Clethra fagifolia,Clethraceae,Tupiro_08,S_Amer,62,103,24,50.6,107,0.52,22,Low P,low
Clethra sp.,Clethraceae,Tupiro_08,S_Amer,62,105,24,89.8,188.6,1.21,9.3,Mod. P,med2
Freziera karsteniana,Pentaphylacaceae,Tupiro_08,S_Amer,62,189,66,73.1,180.3,2.7,5.6,Mod. P,high
Hieronyma sp2(1124WFR),Phyllanthaceae,Tupiro_08,S_Amer,62,215,67,78.8,204.8,1.61,13.4,Mod. P,high
Myrsine coriacea,Primulaceae,Tupiro_08,S_Amer,62,293,69,75.9,173.5,1.37,11.6,Mod. P,high
Nectandra cuspidata,Lauraceae,Tupiro_08,S_Amer,62,296,44,51,103.6,0.34,31.5,Low P,low
Prunus pleiantha,Rosaceae,Tupiro_08,S_Amer,62,363,72,55.5,96.9,0.57,17.2,Low P,low
Axinaea sp.,Melastomataceae,Wayquecha_01,S_Amer,64,43,52,71.1,133.2,3.96,9.8,Mod. P,high
Cinnamomum floccosum,Lauraceae,Wayquecha_01,S_Amer,64,98,44,59.4,97.1,2.09,9.7,Mod. P,high
Clethra cuneata,Clethraceae,Wayquecha_01,S_Amer,64,102,24,98.3,204.5,1.69,8.6,Mod. P,high
Hedyosmum maximum,Chloranthaceae,Wayquecha_01,S_Amer,64,211,22,36.3,63.7,1.54,11.8,Mod. P,high
